SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	     365.600	         606	        3333	 5.86891e+03	 2.65701e+09	 2.00000e+04	 7.31200e+06	 5.57100e+04	 1.00835e+07	 1.36562e-02
	     367.040	         608	        3349	 5.86999e+03	 2.65702e+09	 2.00000e+04	 7.34080e+06	 5.62051e+04	 1.01644e+07	 1.37466e-02
	     369.920	         610	        3366	 5.87202e+03	 2.65704e+09	 2.00000e+04	 7.39840e+06	 5.72151e+04	 1.03292e+07	 1.39346e-02
	     374.920	         614	        3412	 5.87517e+03	 2.65707e+09	 2.00000e+04	 7.49840e+06	 5.88050e+04	 1.06232e+07	 1.42287e-02
	     379.920	         620	        3469	 5.87790e+03	 2.65710e+09	 2.00000e+04	 7.59840e+06	 6.03023e+04	 1.09248e+07	 1.45078e-02
	     384.920	         624	        3503	 5.88016e+03	 2.65712e+09	 2.00000e+04	 7.69840e+06	 6.16962e+04	 1.12332e+07	 1.47688e-02
	     389.920	         627	        3530	 5.88201e+03	 2.65714e+09	 2.00000e+04	 7.79840e+06	 6.30534e+04	 1.15485e+07	 1.50263e-02
	     394.920	         631	        3565	 5.88357e+03	 2.65716e+09	 2.00000e+04	 7.89840e+06	 6.43163e+04	 1.18701e+07	 1.52579e-02
	     399.920	         634	        3594	 5.88482e+03	 2.65717e+09	 2.00000e+04	 7.99840e+06	 6.55061e+04	 1.21976e+07	 1.54755e-02
	     404.920	         637	        3622	 5.88579e+03	 2.65718e+09	 2.00000e+04	 8.09840e+06	 6.66003e+04	 1.25306e+07	 1.56710e-02
	     409.920	         639	        3640	 5.88650e+03	 2.65719e+09	 2.00000e+04	 8.19840e+06	 6.76280e+04	 1.28688e+07	 1.58534e-02
	     414.920	         642	        3664	 5.88696e+03	 2.65719e+09	 2.00000e+04	 8.29840e+06	 6.86318e+04	 1.32119e+07	 1.60309e-02
	     419.920	         645	        3687	 5.88708e+03	 2.65719e+09	 2.00000e+04	 8.39840e+06	 6.95977e+04	 1.35599e+07	 1.62052e-02
	     424.920	         648	        3712	 5.88695e+03	 2.65719e+09	 2.00000e+04	 8.49840e+06	 7.05315e+04	 1.39126e+07	 1.63835e-02
	     429.920	         650	        3729	 5.88661e+03	 2.65719e+09	 2.00000e+04	 8.59840e+06	 7.14189e+04	 1.42697e+07	 1.65426e-02
	     434.920	         652	        3743	 5.88599e+03	 2.65718e+09	 2.00000e+04	 8.69840e+06	 7.22825e+04	 1.46311e+07	 1.67054e-02
	     439.920	         654	        3759	 5.88517e+03	 2.65717e+09	 2.00000e+04	 8.79840e+06	 7.31272e+04	 1.49967e+07	 1.68670e-02
	     444.920	         656	        3776	 5.88417e+03	 2.65716e+09	 2.00000e+04	 8.89840e+06	 7.39169e+04	 1.53663e+07	 1.70154e-02
	     449.920	         658	        3790	 5.88296e+03	 2.65715e+09	 2.00000e+04	 8.99840e+06	 7.46772e+04	 1.57397e+07	 1.71568e-02
	     454.920	         660	        3804	 5.88157e+03	 2.65714e+09	 2.00000e+04	 9.09840e+06	 7.54354e+04	 1.61169e+07	 1.72970e-02
	     459.920	         664	        3832	 5.87996e+03	 2.65712e+09	 2.00000e+04	 9.19840e+06	 7.61174e+04	 1.64974e+07	 1.74318e-02
	     464.920	         666	        3849	 5.87817e+03	 2.65710e+09	 2.00000e+04	 9.29840e+06	 7.67490e+04	 1.68812e+07	 1.75562e-02
	     469.920	         669	        3870	 5.87623e+03	 2.65708e+09	 2.00000e+04	 9.39840e+06	 7.74380e+04	 1.72684e+07	 1.76870e-02
	     474.920	         672	        3887	 5.87414e+03	 2.65706e+09	 2.00000e+04	 9.49840e+06	 7.81015e+04	 1.76589e+07	 1.78209e-02
